Cause ID,Cause Name,State,Gender,2013 DALYs,2013 DALYs YoY %,2014 DALYs,2014 DALYs YoY %,2015 DALYs,2015 DALYs YoY %,2016 DALYs,2016 DALYs YoY %,2017 DALYs,2017 DALYs YoY %,2018 DALYs,2018 DALYs YoY %,2019 DALYs,2019 DALYs YoY %,2020 DALYs,2020 DALYs YoY %,2021 DALYs,2021 DALYs YoY %,2022 DALYs,2022 DALYs YoY %,2023 DALYs,2023 DALYs YoY %
493,Ischemic heart disease,Uttar Pradesh,Female,2.12M,,2.36M,+11.34%,2.32M,-1.78%,2.44M,+4.94%,2.23M,-8.45%,2.17M,-2.48%,1.92M,-11.75%,1.62M,-15.55%,1.74M,+7.18%,2.08M,+19.96%,2.11M,+1.44%
493,Ischemic heart disease,Uttarakhand,Male,716.31K,,738.64K,+3.12%,758.92K,+2.75%,811.29K,+6.90%,807.12K,-0.51%,787.87K,-2.38%,712.70K,-9.54%,690.71K,-3.09%,832.02K,+20.46%,766.08K,-7.92%,761.25K,-0.63%
493,Ischemic heart disease,Uttarakhand,Female,248.53K,,276.17K,+11.12%,283.52K,+2.66%,298.55K,+5.30%,296.18K,-0.79%,294.53K,-0.56%,266.02K,-9.68%,248.45K,-6.61%,280.11K,+12.74%,278.94K,-0.42%,276.77K,-0.78%
493,Ischemic heart disease,West Bengal,Male,2.34M,,2.39M,+2.21%,2.31M,-3.54%,2.44M,+5.98%,2.45M,+0.26%,2.48M,+1.14%,2.39M,-3.41%,2.46M,+2.87%,3.20M,+30.10%,2.66M,-16.86%,2.85M,+6.86%
493,Ischemic heart disease,West Bengal,Female,1.27M,,1.40M,+10.24%,1.39M,-0.91%,1.45M,+4.46%,1.41M,-2.79%,1.39M,-1.26%,1.31M,-5.75%,1.34M,+2.07%,1.68M,+25.55%,1.42M,-15.23%,1.52M,+7.00%
494,Stroke,Andhra Pradesh,Male,529.39K,,510.70K,-3.53%,507.28K,-0.67%,530.33K,+4.54%,539.02K,+1.64%,511.38K,-5.13%,481.90K,-5.76%,479.91K,-0.41%,559.52K,+16.59%,458.00K,-18.14%,452.62K,-1.18%
494,Stroke,Andhra Pradesh,Female,399.53K,,429.41K,+7.48%,453.79K,+5.68%,480.14K,+5.81%,498.81K,+3.89%,505.76K,+1.39%,508.50K,+0.54%,497.41K,-2.18%,508.55K,+2.24%,491.71K,-3.31%,488.12K,-0.73%
494,Stroke,Arunachal Pradesh,Male,8.15K,,8.07K,-1.06%,8.24K,+2.09%,8.74K,+6.09%,9.02K,+3.24%,8.98K,-0.46%,8.73K,-2.74%,8.73K,-0.04%,10.45K,+19.69%,8.87K,-15.05%,9.67K,+8.99%
494,Stroke,Arunachal Pradesh,Female,4.46K,,4.66K,+4.36%,4.82K,+3.40%,5.00K,+3.89%,5.10K,+1.84%,5.16K,+1.23%,5.10K,-1.17%,5.16K,+1.19%,6.16K,+19.32%,5.35K,-13.16%,5.88K,+9.99%
494,Stroke,Assam,Male,548.37K,,530.95K,-3.18%,531.13K,+0.03%,559.54K,+5.35%,575.49K,+2.85%,576.55K,+0.18%,563.80K,-2.21%,554.35K,-1.68%,677.02K,+22.13%,576.84K,-14.80%,592.10K,+2.65%
494,Stroke,Assam,Female,312.58K,,334.19K,+6.91%,352.87K,+5.59%,374.69K,+6.19%,386.79K,+3.23%,394.47K,+1.99%,381.13K,-3.38%,355.03K,-6.85%,354.00K,-0.29%,406.52K,+14.83%,418.21K,+2.88%
494,Stroke,Bihar,Male,633.64K,,604.21K,-4.64%,584.40K,-3.28%,619.58K,+6.02%,621.79K,+0.36%,614.41K,-1.19%,595.07K,-3.15%,562.38K,-5.49%,688.76K,+22.47%,577.17K,-16.20%,594.33K,+2.97%
494,Stroke,Bihar,Female,517.85K,,563.76K,+8.86%,563.18K,-0.10%,594.61K,+5.58%,590.24K,-0.74%,603.31K,+2.21%,589.73K,-2.25%,554.49K,-5.98%,589.96K,+6.40%,593.14K,+0.54%,608.71K,+2.62%
494,Stroke,Chhattisgarh,Male,517.27K,,508.48K,-1.70%,518.26K,+1.92%,573.09K,+10.58%,598.37K,+4.41%,584.42K,-2.33%,573.78K,-1.82%,559.53K,-2.48%,724.81K,+29.54%,577.11K,-20.38%,569.71K,-1.28%
494,Stroke,Chhattisgarh,Female,351.38K,,376.12K,+7.04%,391.61K,+4.12%,429.61K,+9.70%,454.75K,+5.85%,472.53K,+3.91%,480.23K,+1.63%,457.42K,-4.75%,567.05K,+23.97%,490.08K,-13.57%,477.16K,-2.64%
494,Stroke,Delhi,Male,94.78K,,91.00K,-3.99%,88.18K,-3.10%,86.88K,-1.47%,82.30K,-5.27%,77.62K,-5.69%,72.29K,-6.87%,88.89K,+22.97%,102.41K,+15.21%,73.00K,-28.72%,73.59K,+0.80%
494,Stroke,Delhi,Female,58.34K,,59.82K,+2.55%,57.79K,-3.40%,57.80K,+0.03%,55.51K,-3.98%,54.21K,-2.34%,52.28K,-3.57%,64.26K,+22.93%,72.13K,+12.25%,56.83K,-21.22%,57.39K,+0.99%
494,Stroke,Goa,Male,17.45K,,17.28K,-0.93%,17.29K,+0.06%,17.44K,+0.86%,17.36K,-0.49%,16.96K,-2.29%,16.17K,-4.62%,16.34K,+1.04%,19.84K,+21.41%,16.23K,-18.22%,16.01K,-1.34%
494,Stroke,Goa,Female,8.40K,,8.71K,+3.64%,8.86K,+1.78%,8.74K,-1.38%,8.60K,-1.67%,8.56K,-0.46%,8.34K,-2.60%,8.29K,-0.49%,9.41K,+13.40%,8.65K,-8.07%,8.71K,+0.72%
494,Stroke,Gujarat,Male,529.04K,,566.93K,+7.16%,615.22K,+8.52%,677.23K,+10.08%,730.54K,+7.87%,749.25K,+2.56%,756.42K,+0.96%,819.97K,+8.40%,1.18M,+44.45%,804.42K,-32.09%,785.52K,-2.35%
494,Stroke,Gujarat,Female,359.52K,,409.57K,+13.92%,449.68K,+9.79%,488.18K,+8.56%,524.55K,+7.45%,549.29K,+4.72%,574.65K,+4.62%,620.58K,+7.99%,862.13K,+38.92%,598.54K,-30.57%,598.26K,-0.05%
494,Stroke,Haryana,Male,241.00K,,267.01K,+10.79%,294.53K,+10.31%,340.40K,+15.57%,368.87K,+8.36%,386.24K,+4.71%,382.08K,-1.08%,389.04K,+1.82%,457.54K,+17.61%,373.06K,-18.46%,362.07K,-2.95%
494,Stroke,Haryana,Female,138.93K,,163.82K,+17.91%,176.39K,+7.68%,194.87K,+10.47%,203.71K,+4.53%,214.70K,+5.40%,216.19K,+0.69%,223.25K,+3.27%,253.35K,+13.48%,217.57K,-14.12%,216.27K,-0.60%
494,Stroke,Himachal Pradesh,Male,38.41K,,35.19K,-8.38%,34.01K,-3.34%,34.98K,+2.85%,36.84K,+5.32%,37.82K,+2.66%,37.56K,-0.70%,36.30K,-3.34%,41.98K,+15.66%,42.36K,+0.90%,42.93K,+1.33%
494,Stroke,Himachal Pradesh,Female,23.47K,,21.95K,-6.51%,20.92K,-4.67%,20.52K,-1.94%,20.71K,+0.96%,21.19K,+2.29%,21.22K,+0.14%,21.41K,+0.90%,25.65K,+19.80%,23.72K,-7.52%,23.63K,-0.39%
494,Stroke,Jammu & Kashmir and Ladakh,Male,72.27K,,73.67K,+1.93%,77.65K,+5.41%,84.16K,+8.38%,87.59K,+4.07%,87.14K,-0.51%,82.98K,-4.77%,76.19K,-8.18%,79.22K,+3.97%,83.60K,+5.53%,83.36K,-0.28%
494,Stroke,Jammu & Kashmir and Ladakh,Female,40.34K,,41.81K,+3.64%,43.58K,+4.24%,45.89K,+5.31%,47.21K,+2.87%,48.87K,+3.52%,49.28K,+0.83%,50.50K,+2.48%,62.81K,+24.38%,51.85K,-17.45%,52.69K,+1.61%
494,Stroke,Jharkhand,Male,256.81K,,283.23K,+10.29%,277.68K,-1.96%,338.69K,+21.97%,369.36K,+9.06%,386.26K,+4.57%,390.22K,+1.02%,380.20K,-2.57%,490.25K,+28.95%,399.56K,-18.50%,399.42K,-0.03%
494,Stroke,Jharkhand,Female,267.34K,,273.97K,+2.48%,301.92K,+10.20%,335.47K,+11.11%,347.65K,+3.63%,358.24K,+3.05%,354.97K,-0.91%,332.37K,-6.37%,350.48K,+5.45%,385.53K,+10.00%,385.32K,-0.06%
494,Stroke,Karnataka,Male,633.57K,,623.70K,-1.56%,635.39K,+1.87%,669.55K,+5.38%,680.78K,+1.68%,658.91K,-3.21%,629.07K,-4.53%,667.81K,+6.16%,795.77K,+19.16%,606.15K,-23.83%,602.65K,-0.58%
494,Stroke,Karnataka,Female,406.51K,,441.86K,+8.70%,461.35K,+4.41%,472.50K,+2.42%,458.06K,-3.06%,439.47K,-4.06%,413.75K,-5.85%,416.05K,+0.56%,484.96K,+16.56%,408.37K,-15.79%,412.99K,+1.13%
494,Stroke,Kerala,Male,444.01K,,467.14K,+5.21%,496.03K,+6.19%,549.59K,+10.80%,591.22K,+7.57%,588.93K,-0.39%,561.56K,-4.65%,507.62K,-9.61%,566.03K,+11.51%,565.73K,-0.05%,554.25K,-2.03%
494,Stroke,Kerala,Female,246.16K,,247.72K,+0.64%,264.62K,+6.82%,288.65K,+9.08%,306.31K,+6.12%,307.89K,+0.52%,296.55K,-3.68%,270.35K,-8.84%,279.20K,+3.27%,322.10K,+15.37%,328.06K,+1.85%
494,Stroke,Madhya Pradesh,Male,645.91K,,639.60K,-0.98%,643.58K,+0.62%,672.17K,+4.44%,671.10K,-0.16%,648.92K,-3.31%,627.59K,-3.29%,618.05K,-1.52%,747.19K,+20.89%,614.23K,-17.79%,616.17K,+0.31%
494,Stroke,Madhya Pradesh,Female,462.92K,,476.52K,+2.94%,472.61K,-0.82%,486.10K,+2.85%,488.40K,+0.47%,492.35K,+0.81%,490.18K,-0.44%,488.02K,-0.44%,584.81K,+19.83%,485.34K,-17.01%,490.77K,+1.12%
494,Stroke,Maharashtra,Male,1.41M,,1.48M,+4.67%,1.52M,+2.92%,1.56M,+2.63%,1.64M,+4.72%,1.97M,+20.38%,1.57M,-20.10%,1.38M,-12.14%,1.66M,+19.98%,1.48M,-10.92%,1.49M,+1.11%
