Cause ID,Cause Name,State,Gender,2013 YLDs,2013 YLDs YoY %,2014 YLDs,2014 YLDs YoY %,2015 YLDs,2015 YLDs YoY %,2016 YLDs,2016 YLDs YoY %,2017 YLDs,2017 YLDs YoY %,2018 YLDs,2018 YLDs YoY %,2019 YLDs,2019 YLDs YoY %,2020 YLDs,2020 YLDs YoY %,2021 YLDs,2021 YLDs YoY %,2022 YLDs,2022 YLDs YoY %,2023 YLDs,2023 YLDs YoY %
493,Ischemic heart disease,Telangana,Male,43.85K,,43.39K,-1.05%,42.97K,-0.95%,42.91K,-0.16%,42.51K,-0.92%,42.17K,-0.81%,41.86K,-0.72%,41.55K,-0.74%,41.18K,-0.89%,41.12K,-0.15%,41.59K,+1.15%
493,Ischemic heart disease,Telangana,Female,26.98K,,26.57K,-1.52%,26.19K,-1.40%,25.81K,-1.47%,25.36K,-1.74%,24.91K,-1.77%,24.51K,-1.61%,24.37K,-0.56%,24.28K,-0.38%,24.31K,+0.12%,24.81K,+2.05%
493,Ischemic heart disease,Tripura,Male,4.18K,,4.12K,-1.40%,4.06K,-1.42%,4.03K,-0.75%,3.99K,-0.98%,3.95K,-1.01%,3.94K,-0.42%,3.96K,+0.55%,4.01K,+1.37%,4.08K,+1.73%,4.19K,+2.56%
493,Ischemic heart disease,Tripura,Female,2.49K,,2.44K,-2.05%,2.41K,-1.39%,2.37K,-1.60%,2.31K,-2.52%,2.26K,-1.93%,2.24K,-1.20%,2.24K,+0.36%,2.28K,+1.71%,2.34K,+2.47%,2.42K,+3.39%
493,Ischemic heart disease,Uttar Pradesh,Male,199.40K,,197.34K,-1.03%,196.42K,-0.46%,195.29K,-0.57%,192.93K,-1.21%,190.40K,-1.31%,189.71K,-0.36%,192.20K,+1.31%,196.80K,+2.39%,202.33K,+2.81%,207.69K,+2.65%
493,Ischemic heart disease,Uttar Pradesh,Female,134.47K,,135.44K,+0.72%,136.78K,+0.99%,136.38K,-0.29%,133.84K,-1.86%,130.80K,-2.27%,128.67K,-1.63%,129.46K,+0.61%,132.65K,+2.46%,136.49K,+2.90%,141.66K,+3.79%
493,Ischemic heart disease,Uttarakhand,Male,15.33K,,15.30K,-0.23%,15.36K,+0.39%,15.57K,+1.40%,15.71K,+0.86%,15.88K,+1.08%,16.06K,+1.15%,16.24K,+1.11%,16.24K,+0.04%,16.36K,+0.73%,16.83K,+2.84%
493,Ischemic heart disease,Uttarakhand,Female,8.35K,,8.31K,-0.47%,8.27K,-0.48%,8.23K,-0.49%,8.16K,-0.77%,8.10K,-0.72%,8.06K,-0.55%,8.09K,+0.32%,8.13K,+0.55%,8.23K,+1.18%,8.51K,+3.51%
493,Ischemic heart disease,West Bengal,Male,116.25K,,114.67K,-1.35%,113.37K,-1.13%,112.91K,-0.41%,111.70K,-1.07%,110.71K,-0.89%,110.10K,-0.55%,110.61K,+0.47%,111.10K,+0.44%,112.66K,+1.40%,115.05K,+2.12%
493,Ischemic heart disease,West Bengal,Female,69.96K,,69.31K,-0.93%,69.02K,-0.41%,68.69K,-0.48%,67.99K,-1.02%,67.42K,-0.83%,67.14K,-0.42%,67.26K,+0.18%,67.54K,+0.42%,68.31K,+1.14%,70.88K,+3.76%
494,Stroke,Andhra Pradesh,Male,46.98K,,47.24K,+0.57%,47.61K,+0.77%,48.09K,+1.03%,48.52K,+0.89%,49.02K,+1.03%,49.51K,+1.00%,49.87K,+0.72%,50.04K,+0.35%,50.34K,+0.60%,51.13K,+1.56%
494,Stroke,Andhra Pradesh,Female,36.51K,,37.45K,+2.57%,38.03K,+1.57%,38.42K,+1.02%,38.86K,+1.13%,39.22K,+0.93%,39.62K,+1.02%,40.12K,+1.26%,40.97K,+2.11%,41.85K,+2.16%,42.74K,+2.12%
494,Stroke,Arunachal Pradesh,Male,1.22K,,1.24K,+1.55%,1.27K,+2.76%,1.30K,+2.65%,1.34K,+2.69%,1.37K,+2.06%,1.41K,+2.79%,1.44K,+2.27%,1.47K,+2.30%,1.51K,+2.52%,1.56K,+3.68%
494,Stroke,Arunachal Pradesh,Female,704.71,,722.40,+2.51%,744.32,+3.03%,760.64,+2.19%,777.33,+2.19%,800.01,+2.92%,823.71,+2.96%,848.48,+3.01%,883.43,+4.12%,921.03,+4.26%,964.81,+4.75%
494,Stroke,Assam,Male,44.76K,,45.40K,+1.42%,46.37K,+2.13%,47.44K,+2.31%,48.63K,+2.51%,49.58K,+1.94%,50.61K,+2.08%,51.46K,+1.69%,51.74K,+0.55%,52.08K,+0.66%,53.61K,+2.92%
494,Stroke,Assam,Female,24.11K,,24.74K,+2.60%,25.29K,+2.23%,25.85K,+2.22%,26.27K,+1.62%,26.66K,+1.49%,27.16K,+1.86%,27.62K,+1.72%,28.29K,+2.42%,29.11K,+2.88%,30.31K,+4.15%
494,Stroke,Bihar,Male,79.49K,,79.87K,+0.47%,81.09K,+1.53%,82.25K,+1.44%,83.52K,+1.55%,84.53K,+1.20%,85.87K,+1.59%,87.56K,+1.97%,88.48K,+1.04%,90.23K,+1.99%,92.12K,+2.10%
494,Stroke,Bihar,Female,56.96K,,58.19K,+2.16%,59.07K,+1.50%,59.64K,+0.97%,60.26K,+1.04%,61.15K,+1.47%,62.13K,+1.61%,63.03K,+1.44%,64.68K,+2.62%,66.69K,+3.11%,68.12K,+2.15%
494,Stroke,Chhattisgarh,Male,33.96K,,34.62K,+1.94%,35.46K,+2.42%,36.61K,+3.26%,37.75K,+3.10%,38.65K,+2.39%,39.86K,+3.12%,40.92K,+2.67%,41.47K,+1.35%,42.13K,+1.60%,43.59K,+3.46%
494,Stroke,Chhattisgarh,Female,21.30K,,21.88K,+2.70%,22.47K,+2.71%,22.90K,+1.92%,23.52K,+2.71%,23.99K,+2.02%,24.66K,+2.78%,25.25K,+2.38%,25.86K,+2.43%,26.66K,+3.11%,27.60K,+3.52%
494,Stroke,Delhi,Male,16.20K,,16.22K,+0.11%,16.49K,+1.69%,16.96K,+2.86%,17.50K,+3.15%,17.88K,+2.19%,18.46K,+3.24%,18.85K,+2.08%,19.00K,+0.83%,19.31K,+1.61%,19.95K,+3.31%
494,Stroke,Delhi,Female,12.85K,,13.15K,+2.36%,13.53K,+2.90%,14.01K,+3.54%,14.51K,+3.60%,15.04K,+3.60%,15.62K,+3.85%,16.08K,+2.97%,16.49K,+2.54%,16.89K,+2.42%,17.58K,+4.09%
494,Stroke,Goa,Male,1.45K,,1.46K,+0.84%,1.48K,+1.20%,1.50K,+1.48%,1.52K,+1.21%,1.54K,+1.14%,1.56K,+1.03%,1.57K,+1.20%,1.58K,+0.41%,1.59K,+0.74%,1.60K,+0.66%
494,Stroke,Goa,Female,1.16K,,1.19K,+2.40%,1.21K,+1.93%,1.23K,+1.62%,1.25K,+1.58%,1.26K,+1.21%,1.28K,+1.33%,1.31K,+1.97%,1.33K,+2.21%,1.36K,+2.08%,1.40K,+2.43%
494,Stroke,Gujarat,Male,68.23K,,70.87K,+3.87%,72.86K,+2.81%,74.54K,+2.30%,76.89K,+3.15%,78.64K,+2.27%,80.55K,+2.44%,82.56K,+2.48%,84.85K,+2.78%,87.66K,+3.31%,89.51K,+2.11%
494,Stroke,Gujarat,Female,44.30K,,46.68K,+5.37%,48.55K,+4.00%,50.14K,+3.29%,51.68K,+3.06%,53.22K,+2.97%,54.80K,+2.97%,56.59K,+3.27%,59.39K,+4.95%,62.44K,+5.14%,64.46K,+3.23%
494,Stroke,Haryana,Male,28.44K,,29.85K,+4.96%,30.84K,+3.29%,31.83K,+3.22%,32.73K,+2.82%,33.67K,+2.87%,34.67K,+2.97%,35.56K,+2.59%,36.47K,+2.56%,37.62K,+3.14%,38.44K,+2.19%
494,Stroke,Haryana,Female,19.68K,,20.92K,+6.27%,21.81K,+4.27%,22.49K,+3.14%,23.11K,+2.72%,23.87K,+3.31%,24.70K,+3.47%,25.45K,+3.05%,26.70K,+4.89%,28.00K,+4.87%,28.87K,+3.11%
494,Stroke,Himachal Pradesh,Male,6.96K,,7.10K,+1.91%,7.23K,+1.82%,7.42K,+2.73%,7.61K,+2.45%,7.70K,+1.27%,7.89K,+2.40%,8.02K,+1.66%,8.10K,+1.03%,8.21K,+1.30%,8.36K,+1.86%
494,Stroke,Himachal Pradesh,Female,4.47K,,4.58K,+2.37%,4.66K,+1.69%,4.76K,+2.14%,4.85K,+2.00%,4.94K,+1.77%,5.02K,+1.71%,5.12K,+2.01%,5.26K,+2.62%,5.41K,+2.90%,5.55K,+2.68%
494,Stroke,Jammu & Kashmir and Ladakh,Male,10.21K,,10.46K,+2.49%,10.70K,+2.32%,10.99K,+2.67%,11.19K,+1.79%,11.44K,+2.26%,11.62K,+1.63%,11.90K,+2.41%,12.08K,+1.49%,12.27K,+1.57%,12.57K,+2.47%
494,Stroke,Jammu & Kashmir and Ladakh,Female,6.64K,,6.82K,+2.79%,7.01K,+2.79%,7.20K,+2.63%,7.36K,+2.28%,7.54K,+2.46%,7.75K,+2.69%,7.93K,+2.30%,8.17K,+3.06%,8.39K,+2.69%,8.63K,+2.83%
494,Stroke,Jharkhand,Male,29.13K,,29.65K,+1.76%,30.29K,+2.16%,31.39K,+3.63%,32.10K,+2.26%,33.10K,+3.12%,33.82K,+2.17%,34.55K,+2.17%,34.85K,+0.88%,35.15K,+0.84%,36.09K,+2.69%
