REI ID,REI Name,Year,State,Sex,20-29,30-39,40-49,50-59,60-69
99,Smoking,2017,Haryana,Male,0.0,7.62,29.02,23.59,39.78
99,Smoking,2017,Himachal Pradesh,Female,0.0,3.7,12.2,16.7,67.4
99,Smoking,2017,Himachal Pradesh,Male,0.0,5.45,27.61,19.68,47.26
99,Smoking,2017,Jharkhand,Female,0.0,3.03,11.39,22.98,62.6
99,Smoking,2017,Jharkhand,Male,0.0,7.64,23.08,25.0,44.28
99,Smoking,2017,Karnataka,Female,0.0,2.31,13.62,31.09,52.98
99,Smoking,2017,Karnataka,Male,0.0,8.49,30.79,20.9,39.81
99,Smoking,2017,Kerala,Female,0.0,2.35,7.14,21.87,68.64
99,Smoking,2017,Kerala,Male,0.0,4.39,22.76,26.69,46.16
99,Smoking,2017,Madhya Pradesh,Female,0.0,3.86,11.12,25.08,59.93
99,Smoking,2017,Madhya Pradesh,Male,0.0,8.68,28.98,23.45,38.9
99,Smoking,2017,Maharashtra,Female,0.0,6.82,23.17,29.36,40.65
99,Smoking,2017,Maharashtra,Male,0.0,6.07,21.47,26.5,45.95
99,Smoking,2017,Manipur,Female,0.0,3.12,16.42,23.62,56.84
99,Smoking,2017,Manipur,Male,0.0,7.39,25.49,25.4,41.73
99,Smoking,2017,Meghalaya,Female,0.0,7.98,31.93,20.02,40.07
99,Smoking,2017,Meghalaya,Male,0.0,12.13,30.9,21.39,35.58
99,Smoking,2017,Mizoram,Female,0.0,6.54,20.25,23.1,50.11
99,Smoking,2017,Mizoram,Male,0.0,10.4,32.14,23.37,34.08
99,Smoking,2017,Nagaland,Female,0.0,11.44,42.77,19.78,26.01
99,Smoking,2017,Nagaland,Male,0.0,12.33,37.11,22.35,28.2
99,Smoking,2017,Odisha,Female,0.0,4.48,15.48,25.97,54.08
99,Smoking,2017,Odisha,Male,0.0,6.6,26.57,23.12,43.72
99,Smoking,2017,Punjab,Female,0.0,6.18,17.58,22.85,53.39
99,Smoking,2017,Punjab,Male,0.0,10.24,37.63,16.14,35.98
99,Smoking,2017,Rajasthan,Female,0.0,2.89,12.45,22.33,62.33
99,Smoking,2017,Rajasthan,Male,0.0,7.39,28.1,25.11,39.4
99,Smoking,2017,Sikkim,Female,0.0,7.77,24.41,19.52,48.3
99,Smoking,2017,Sikkim,Male,0.0,12.95,31.95,20.79,34.32
99,Smoking,2017,Tamil Nadu,Female,0.0,3.98,18.32,29.14,48.55
99,Smoking,2017,Tamil Nadu,Male,0.0,7.73,31.62,24.05,36.59
99,Smoking,2017,Telangana,Female,0.0,3.01,17.91,16.92,62.16
99,Smoking,2017,Telangana,Male,0.0,9.22,38.47,16.63,35.69
99,Smoking,2017,Tripura,Female,0.0,7.35,25.43,17.63,49.59
99,Smoking,2017,Tripura,Male,0.0,9.01,31.23,23.32,36.44
99,Smoking,2017,Uttar Pradesh,Female,0.0,2.24,11.55,32.75,53.46
99,Smoking,2017,Uttar Pradesh,Male,0.0,5.72,27.51,26.81,39.96
99,Smoking,2017,Uttarakhand,Female,0.0,2.37,23.17,29.2,45.25
99,Smoking,2017,Uttarakhand,Male,0.0,6.89,36.39,19.62,37.1
99,Smoking,2017,West Bengal,Female,0.0,2.02,10.51,22.54,64.94
99,Smoking,2017,West Bengal,Male,0.0,6.79,24.92,24.89,43.4
99,Smoking,2018,Andhra Pradesh,Female,0.0,1.97,16.8,21.72,59.51
99,Smoking,2018,Andhra Pradesh,Male,0.0,6.74,33.28,20.5,39.47
99,Smoking,2018,Arunachal Pradesh,Female,0.0,8.65,24.72,19.94,46.7
99,Smoking,2018,Arunachal Pradesh,Male,0.0,14.46,40.15,18.54,26.85
99,Smoking,2018,Assam,Female,0.0,2.63,9.03,47.5,40.84
99,Smoking,2018,Assam,Male,0.0,6.56,26.9,29.3,37.24
99,Smoking,2018,Bihar,Female,0.0,2.22,8.15,16.16,73.47
99,Smoking,2018,Bihar,Male,0.0,6.44,24.04,18.93,50.59
99,Smoking,2018,Chhattisgarh,Female,0.0,3.64,10.61,20.34,65.41
99,Smoking,2018,Chhattisgarh,Male,0.0,6.13,24.18,24.62,45.08
99,Smoking,2018,Delhi,Female,0.0,4.32,17.87,25.63,52.18
99,Smoking,2018,Delhi,Male,0.0,7.83,34.4,20.11,37.66
99,Smoking,2018,Goa,Female,0.0,5.67,18.52,20.03,55.77
99,Smoking,2018,Goa,Male,0.0,7.91,31.22,21.83,39.04
99,Smoking,2018,Gujarat,Female,0.0,5.35,16.3,35.06,43.29
99,Smoking,2018,Gujarat,Male,0.0,5.96,24.43,26.59,43.02
99,Smoking,2018,Haryana,Female,0.0,2.53,11.91,20.12,65.44
99,Smoking,2018,Haryana,Male,0.0,7.25,27.73,23.31,41.71
99,Smoking,2018,Himachal Pradesh,Female,0.0,3.54,11.33,16.58,68.55
99,Smoking,2018,Himachal Pradesh,Male,0.0,5.27,27.38,18.44,48.91
99,Smoking,2018,Jharkhand,Female,0.0,2.99,10.72,23.14,63.15
99,Smoking,2018,Jharkhand,Male,0.0,7.64,22.24,24.64,45.49
99,Smoking,2018,Karnataka,Female,0.0,2.39,12.66,30.3,54.65
99,Smoking,2018,Karnataka,Male,0.0,8.39,30.82,20.56,40.23
99,Smoking,2018,Kerala,Female,0.0,2.2,6.68,21.83,69.28
99,Smoking,2018,Kerala,Male,0.0,4.09,21.66,25.91,48.34
99,Smoking,2018,Madhya Pradesh,Female,0.0,4.01,11.06,25.54,59.38
99,Smoking,2018,Madhya Pradesh,Male,0.0,8.62,28.87,23.69,38.83
99,Smoking,2018,Maharashtra,Female,0.0,5.68,20.51,30.51,43.3
99,Smoking,2018,Maharashtra,Male,0.0,5.49,20.41,27.04,47.06
99,Smoking,2018,Manipur,Female,0.0,3.19,15.96,23.33,57.52
99,Smoking,2018,Manipur,Male,0.0,7.65,25.76,24.66,41.93
99,Smoking,2018,Meghalaya,Female,0.0,8.45,31.69,19.86,40.01
99,Smoking,2018,Meghalaya,Male,0.0,12.65,30.79,20.9,35.67
99,Smoking,2018,Mizoram,Female,0.0,6.88,20.15,22.56,50.42
99,Smoking,2018,Mizoram,Male,0.0,10.81,32.44,22.54,34.2
99,Smoking,2018,Nagaland,Female,0.0,11.92,42.07,19.61,26.39
99,Smoking,2018,Nagaland,Male,0.0,12.78,37.87,21.56,27.79
99,Smoking,2018,Odisha,Female,0.0,4.37,14.5,26.62,54.51
99,Smoking,2018,Odisha,Male,0.0,6.4,26.26,22.97,44.37
99,Smoking,2018,Punjab,Female,0.0,5.98,16.19,22.46,55.37
99,Smoking,2018,Punjab,Male,0.0,10.05,37.3,16.21,36.44
99,Smoking,2018,Rajasthan,Female,0.0,2.92,11.77,22.69,62.62
99,Smoking,2018,Rajasthan,Male,0.0,6.99,27.07,25.67,40.27
99,Smoking,2018,Sikkim,Female,0.0,7.88,23.12,19.46,49.55
99,Smoking,2018,Sikkim,Male,0.0,13.13,31.65,20.39,34.84
99,Smoking,2018,Tamil Nadu,Female,0.0,3.98,17.25,29.24,49.53
99,Smoking,2018,Tamil Nadu,Male,0.0,7.03,30.7,24.45,37.82
99,Smoking,2018,Telangana,Female,0.0,2.96,17.18,16.71,63.15
99,Smoking,2018,Telangana,Male,0.0,9.06,38.61,16.23,36.1
99,Smoking,2018,Tripura,Female,0.0,7.5,25.08,17.5,49.92
99,Smoking,2018,Tripura,Male,0.0,9.11,31.01,22.78,37.1
99,Smoking,2018,Uttar Pradesh,Female,0.0,2.25,10.98,33.27,53.49
99,Smoking,2018,Uttar Pradesh,Male,0.0,5.71,26.35,27.4,40.55
99,Smoking,2018,Uttarakhand,Female,0.0,2.58,22.73,28.31,46.38
99,Smoking,2018,Uttarakhand,Male,0.0,7.31,36.91,18.66,37.12
99,Smoking,2018,West Bengal,Female,0.0,2.0,9.86,23.54,64.6
